,league,season,player,team_id,position,goals,assists,key_passes,xG,xA,time,shots,player_id,xGChain,xGBuildup
42,EPL,2014,Branislav Ivanovic,80,DR,0,0,0,0.0,0.0,90,0,682,0.6522250175476074,0.6522250175476074
43,EPL,2014,César Azpilicueta,80,DL,0,0,0,0.0,0.0,90,0,681,0.6522250175476074,0.6522250175476074
44,EPL,2014,Rafael,89,DR,0,1,2,0.0,0.18829815089702606,90,0,3270,0.3853854835033417,0.2924976646900177
45,EPL,2014,Luke Shaw,89,DL,0,0,1,0.0,0.026607237756252292,90,0,1006,0.1442490816116333,0.1442490816116333
46,EPL,2014,Branislav Ivanovic,80,DR,0,0,2,0.0379897765815258,0.12430981546640395,90,1,682,0.37821415066719055,0.3061583340167999
47,EPL,2014,César Azpilicueta,80,DL,0,1,2,0.0,0.5557259321212769,90,0,681,0.8279398083686829,0.8043519258499146
48,EPL,2014,Pablo Zabaleta,88,DR,0,2,3,0.0,0.8302024602890015,90,0,610,1.1850568056106567,0.8772203326225281
49,EPL,2014,Gaël Clichy,88,DL,0,0,0,0.0,0.0,90,0,613,0.2881458103656769,0.2881458103656769
50,EPL,2014,Calum Chambers,83,DR,0,0,0,0.03324301913380623,0.0,90,2,508,0.17307452857494354,0.1398315131664276
51,EPL,2014,Kieran Gibbs,83,DL,0,0,0,0.0,0.0,90,0,545,0.11178458482027054,0.11178458482027054
52,EPL,2014,Kyle Naughton,82,DR,0,0,0,0.0,0.0,90,0,718,0.0,0.0
53,EPL,2014,Danny Rose,82,DL,0,0,0,0.0,0.0,86,0,641,0.0,0.0
54,EPL,2014,Pablo Zabaleta,88,DR,0,0,1,0.05507618561387062,0.07102943956851959,90,1,610,0.6891648173332214,0.6340885758399963
55,EPL,2014,Aleksandar Kolarov,88,DL,0,0,1,0.13201147317886353,0.09447049349546432,90,4,621,0.3710997998714447,0.3292376697063446
56,EPL,2014,Rafael,89,DR,0,0,0,0.0,0.0,90,0,3270,0.3701797127723694,0.3701797127723694
57,EPL,2014,Luke Shaw,89,DL,0,0,2,0.0,0.5109213590621948,74,0,1006,0.5494006276130676,0.21542233228683472
58,EPL,2014,Kyle Naughton,82,DR,0,0,0,0.0,0.0,31,0,718,0.0,0.0
59,EPL,2014,Danny Rose,82,DL,0,0,0,0.0,0.0,90,0,641,0.04944749176502228,0.04944749176502228
60,EPL,2014,Branislav Ivanovic,80,DR,0,0,0,0.0,0.0,90,0,682,0.3033764660358429,0.3033764660358429
61,EPL,2014,César Azpilicueta,80,DL,0,0,0,0.010975642129778862,0.0,90,1,681,0.6136879324913025,0.6027122735977173
62,EPL,2014,Calum Chambers,83,DR,0,0,1,0.03464605286717415,0.010372962802648544,90,2,508,0.06196652352809906,0.016947507858276367
63,EPL,2014,Kieran Gibbs,83,DL,0,0,1,0.0,0.014445830136537554,90,0,545,0.13447877764701846,0.12003294378519057
64,EPL,2014,Bacary Sagna,88,DR,0,0,1,0.0,0.13335269689559934,90,0,625,0.25671496987342834,0.25671496987342834
65,EPL,2014,Gaël Clichy,88,DL,0,0,0,0.0,0.0,90,0,613,0.22672806680202484,0.22672806680202484
66,EPL,2014,Eric Dier,82,DR,0,0,0,0.0,0.0,90,0,643,0.013700815849006176,0.013700815849006176
67,EPL,2014,Danny Rose,82,DL,0,0,1,0.0,0.3217625021934509,90,0,641,0.8337048292160034,0.5119423270225525
68,EPL,2014,Branislav Ivanovic,80,DR,0,0,0,0.0,0.0,90,0,682,0.3882002830505371,0.3882002830505371
69,EPL,2014,César Azpilicueta,80,DL,0,0,0,0.0,0.0,39,0,681,0.10279972851276398,0.10279972851276398
70,EPL,2014,Héctor Bellerín,83,DR,0,0,0,0.0,0.0,90,0,492,0.25363415479660034,0.25363415479660034
71,EPL,2014,Kieran Gibbs,83,DL,0,0,2,0.616693377494812,0.17610719799995422,90,1,545,0.7014088034629822,0.03218147158622742
72,EPL,2014,Rafael,89,DR,0,0,0,0.017106980085372925,0.0,90,1,3270,0.05536700412631035,0.038260024040937424
73,EPL,2014,Luke Shaw,89,DL,0,0,1,0.0,0.045088566839694984,90,0,1006,0.14119191467761993,0.14119191467761993
74,EPL,2014,Pablo Zabaleta,88,DR,0,0,0,0.0,0.0,90,0,610,0.8820779323577881,0.8820779323577881
75,EPL,2014,Gaël Clichy,88,DL,0,0,0,0.0,0.0,80,0,613,0.2969086766242981,0.2969086766242981
76,EPL,2014,Calum Chambers,83,DR,0,0,0,0.04849619045853615,0.0,90,1,508,0.060644224286079414,0.012148034758865832
77,EPL,2014,Kieran Gibbs,83,DL,0,0,0,0.012998211197555063,0.0,75,1,545,0.028914654627442363,0.028914654627442363
78,EPL,2014,Eric Dier,82,DR,0,0,0,0.03684651479125023,0.0,90,1,643,0.10178904980421066,0.10178904980421066
79,EPL,2014,Danny Rose,82,DL,0,0,2,0.0464058555662632,0.7347665429115295,90,1,641,0.8622491955757141,0.08107681572437286
80,EPL,2014,Rafael,89,DR,0,0,2,0.0,0.07720698416233063,90,0,3270,0.14790315926074982,0.10850923508405684
81,EPL,2014,Luke Shaw,89,DL,0,0,1,0.0,0.09741663187742232,90,0,1006,0.30333828926086426,0.30333828926086426
82,EPL,2014,Branislav Ivanovic,80,DR,0,0,0,0.05349760130047798,0.0,90,1,682,0.05349760130047798,0.05349760130047798
83,EPL,2014,Filipe Luis,80,DL,0,0,1,0.0,0.02082688920199871,90,0,2265,0.37619784474372864,0.37619784474372864
84,EPL,2014,Calum Chambers,83,DR,1,1,2,0.656671404838562,0.25006818771362305,90,1,508,0.6155180335044861,0.4778992831707001
85,EPL,2014,Kieran Gibbs,83,DL,0,1,2,0.033346183598041534,0.9251545667648317,90,2,545,1.4874314069747925,1.4874314069747925
86,EPL,2014,Branislav Ivanovic,80,DR,0,0,0,0.5579886436462402,0.0,90,1,682,0.8871205449104309,0.3291318714618683
87,EPL,2014,Filipe Luis,80,DL,0,0,1,0.10141882300376892,0.02379695884883404,90,2,2265,0.4182752370834351,0.3802245557308197
