,goals,assists,key_passes,xG,xA,time,shots,xGChain,xGBuildup,goals+assists,season,player
0,1,5,27,1.2596378233283758,2.423508291132748,3315,17,14.076278740540147,11.797171314246953,6,2018,César Azpilicueta
0,2,6,41,2.319062067195773,5.798248164355755,2874,25,15.435111459344625,11.827715169638395,8,2019,César Azpilicueta
0,0,0,14,0.3277863413095474,1.322059266269207,987,5,5.909258767962456,5.352702829986811,0,2020,César Azpilicueta
0,0,1,10,0.25127118825912476,1.26942496933043,1732,3,7.325213938951492,6.5594130624085665,1,2014,Nacho Monreal
0,0,3,28,0.9100387915968895,2.91194324567914,3240,12,17.179890973493457,14.73817790299654,3,2015,Nacho Monreal
0,0,2,11,0.7440134966745973,1.9104262180626392,2415,8,7.7930968925356865,6.305706014856696,2,2016,Nacho Monreal
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2017,Nacho Monreal
0,1,3,11,1.2284543607383966,2.008963174186647,1260,7,6.515047090128064,4.053939611651003,4,2018,Nacho Monreal
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Nacho Monreal
0,1,1,9,1.5311264283955097,1.647751823067665,2007,11,9.67539276741445,9.350057922303677,2,2020,Nacho Monreal
0,1,2,11,0.6700681392103434,1.1231084875762463,1217,8,5.312598037533462,4.6334826266393065,3,2014,Eric Dier
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2015,Eric Dier
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2016,Eric Dier
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2017,Eric Dier
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2018,Eric Dier
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Eric Dier
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Eric Dier
0,1,4,26,1.3584486171603203,3.7550920471549034,2590,12,16.997089342214167,14.82117458153516,5,2014,Pablo Zabaleta
0,0,1,2,0.17769978567957878,0.6336397752165794,1058,3,5.072049994021654,4.85144991055131,1,2015,Pablo Zabaleta
0,1,0,5,0.5230156779289246,0.20485186763107777,764,4,4.701467730104923,4.056396059691906,1,2016,Pablo Zabaleta
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2017,Pablo Zabaleta
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2018,Pablo Zabaleta
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Pablo Zabaleta
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Pablo Zabaleta
0,0,0,9,0.020587854087352756,0.7601547613739966,720,1,3.326206125319004,2.931169383227825,0,2014,Bacary Sagna
0,0,3,27,0.15982468891888857,2.814246323890984,2427,5,9.432104162871838,8.508806072175503,3,2015,Bacary Sagna
0,0,1,7,0.07170176040381193,0.6660943683236837,1160,4,4.568468602374196,4.37709254398942,1,2016,Bacary Sagna
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2017,Bacary Sagna
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2018,Bacary Sagna
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Bacary Sagna
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Bacary Sagna
0,0,1,5,0.017106980085372925,0.2782372357323766,519,1,1.3952051606029272,1.2458164375275373,1,2014,Rafael
0,1,2,10,1.002168072387576,1.075813147239387,1385,11,3.5067767780274153,3.0444110315293074,3,2015,Rafael
0,0,3,14,0.4719849620014429,3.5831618709489703,2055,16,7.448085492942482,6.712065550033003,3,2016,Rafael
0,0,2,21,0.3158118510618806,3.1177740963175893,1798,7,7.70525630377233,5.949904541485012,2,2017,Rafael
0,0,1,9,0.03774142637848854,0.5603807773441076,850,1,2.877397732809186,2.423062765970826,1,2018,Rafael
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Rafael
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Rafael
0,0,0,6,0.9376370664685965,0.19574210979044437,614,10,2.2863892391324043,2.0655722953379154,0,2014,Marcos Rojo
0,0,1,10,0.2653797436505556,0.8043278129771352,1108,7,1.8204299211502075,1.1858385875821114,1,2015,Marcos Rojo
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2016,Marcos Rojo
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2017,Marcos Rojo
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2018,Marcos Rojo
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Marcos Rojo
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Marcos Rojo
0,1,1,9,0.7730566672980785,0.8523802720010281,1170,6,2.9138805214315653,2.6024212008342147,2,2014,Calum Chambers
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2015,Calum Chambers
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2016,Calum Chambers
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2017,Calum Chambers
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2018,Calum Chambers
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2019,Calum Chambers
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2020,Calum Chambers
0,0,0,14,0.14160747453570366,1.2783836126327515,973,3,2.826808672398329,1.880796618759632,0,2014,Luke Shaw
0,0,1,4,0.06924628466367723,0.679107591509819,450,1,1.3790599927306175,0.7020631656050682,1,2015,Luke Shaw
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2016,Luke Shaw
0,0,0,8,0.32492492720484734,0.3420151825994253,715,11,2.801132656633854,2.348202696070075,0,2017,Luke Shaw
0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,2018,Luke Shaw
0,0,0,16,0.5850308863446116,1.1474941363558173,1437,9,6.158285836689174,5.355973739176989,0,2019,Luke Shaw
0,1,5,69,0.6931251157075167,6.361218448728323,2611,11,12.802896227687597,10.096231952309608,6,2020,Luke Shaw
0,2,1,12,0.27969358302652836,1.7710436806082726,1470,5,5.942628238350153,4.712521528825164,3,2014,Héctor Bellerín
